# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 1249 6911 2425 2141
p 2 0 1216 6944 2303 2076
p 2 0 810 7350 1954 1778
p 2 0 1033 7127 2118 1929
p 2 0 802 7358 1941 1766
p 2 0 1007 7153 2082 1900
p 2 0 1190 6970 2549 2110
p 2 0 806 7354 1878 1766
p 2 21 6239 1900 23654 8578
p 2 73 7366 721 44036 11696
p 2 60 7584 516 44810 12817
p 2 15 7716 429 39997 12468
p 2 20 7707 433 37426 12611
p 2 11 7697 452 33773 12041
p 2 1 7499 660 30799 11528
p 2 0 7312 848 25895 10518
p 2 2 7456 702 25789 10365
p 2 0 7279 881 23532 10121
p 2 0 7291 869 21577 9902
p 2 0 7436 724 21606 9813
p 2 0 7436 724 21218 9844
p 2 0 7391 769 21796 9770
p 2 0 7394 766 20897 9711
p 2 0 7383 777 20839 9587
p 2 0 7330 830 19488 9327
p 2 0 7299 861 20772 9445
p 2 0 7262 898 19341 9263
p 2 0 7274 886 19445 9190
p 2 0 7320 840 19184 9147
p 2 0 7215 945 18799 8990
p 2 0 7188 972 18435 9001
p 2 0 7101 1059 18601 8814
p 2 0 7302 858 19201 9180
p 2 0 7095 1065 18364 8917
p 2 0 7165 995 18342 8970
p 2 0 7053 1107 18297 8777
p 2 0 7119 1041 17884 8827
p 2 0 6750 1410 17598 8426
p 2 0 6896 1264 17408 8571
p 2 0 7028 1132 17419 8560
p 2 0 6979 1181 16780 8495
p 2 0 7010 1150 17839 8558
p 2 0 7147 1013 17200 8594
p 2 0 6945 1215 17036 8375
p 2 0 6977 1183 16502 8383
p 2 0 7242 918 18655 8794
p 2 0 6844 1316 15995 8336
p 2 0 6748 1412 15570 8040
p 2 0 6728 1432 15378 7925
p 2 0 6480 1680 15182 7690
p 2 0 6699 1461 16877 8102
p 2 0 6344 1816 14793 7586
p 2 0 6483 1677 14950 7744
p 2 0 6260 1900 14707 7446
p 2 0 6341 1819 14678 7485
p 2 0 6038 2122 14033 7164
p 2 0 6201 1959 13907 7276
p 2 0 5960 2200 13537 7007
p 2 0 6377 1783 14418 7404
p 2 0 5938 2222 12863 6889
p 2 0 5977 2183 13096 6904
p 2 0 5615 2545 12795 6579
p 2 0 5782 2378 13224 6714
p 2 0 5321 2839 12366 6231
p 2 0 5366 2794 12204 6289
p 2 0 4834 3326 10769 5840
p 2 0 4449 3711 9725 5345
p 2 0 3446 4714 6850 4261
i 2 8160 0 0 109221 27163
p 2 0 2594 5566 4091 3241
p 2 0 2630 5530 4041 3271
p 2 0 4406 3754 24711 6066
p 2 0 2867 5293 5507 3576
